student_id,first_name,last_name,school_name,email,gender,standard,section,phone,block,city,state,funder
RTS-2425-065751,ALFIYA,J,GHS-GIRLS KELAMANGALAM,alfiya2263@gmail.com,GIRL,6,B,7921322225,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-041681,SHARVIN,V,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,sharvin80@gmail.com,BOY,4,B,8529619234,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-032856,NIRANJAN,D,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,niranjan4605@gmail.com,BOY,6,B,7479247377,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032850,ANBARASAN,V,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,anbarasan1011@gmail.com,BOY,6,A,6723044603,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032870,DHANUSHREE,S,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,dhanushree3286@gmail.com,GIRL,7,B,8891099410,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-066284,LIKITHA,T,GHS NAGAMANGALAM,likitha1746@gmail.com,GIRL,6,C,6171964892,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065623,SANTHOSH,M,GHS SANTHANAPALLI,santhosh2484@gmail.com,BOY,6,A,7827965214,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-065633,RAJESH,M,GHS SANTHANAPALLI,rajesh4154@gmail.com,BOY,7,A,8267652481,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-065964,SHAHINTHASREE,R,GHS-GIRLS KELAMANGALAM,shahinthasree194@gmail.com,GIRL,8,B,8441597180,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2324-032833,NITHIKA,V,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,nithika1825@gmail.com,GIRL,4,A,7470940707,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032814,DARSHIK,S,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,darshik688@gmail.com,GIRL,3,B,8378431562,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032829,DHIVNESH,S,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,dhivnesh2804@gmail.com,BOY,4,A,6454510592,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032841,DHANALAKSHMI,N,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,dhanalakshmi1601@gmail.com,GIRL,5,B,8775352075,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032886,ABINESH,U,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,abinesh1574@gmail.com,BOY,8,C,7815696879,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-068821,ANUSHKA,S,ADI DRAVIDA WELFARE PRIMARY SCHOOL PARUTHIPATTU,anushka6088@gmail.com,GIRL,1,B,7832540264,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-066303,ARUNA,M,GHS NAGAMANGALAM,aruna3576@gmail.com,GIRL,8,C,6085873056,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-068582,LATHIKA,S,GHS PAPPARAMPAKKAM,lathika5098@gmail.com,GIRL,6,C,7635376065,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-065927,VARALAKSHMI,M,GHS-GIRLS KELAMANGALAM,varalakshmi2959@gmail.com,GIRL,7,C,6317546519,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-065965,DEEKSHITHA,M,GHS-GIRLS KELAMANGALAM,deekshitha164@gmail.com,GIRL,8,C,6520042857,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-065960,LAVANYA,Y,GHS-GIRLS KELAMANGALAM,lavanya6296@gmail.com,GIRL,8,B,7831114586,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2324-041698,JAYASRI,M,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,jayasri4879@gmail.com,GIRL,5,B,8296052154,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-032796,DHANYASRI,P,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,dhanyasri1952@gmail.com,GIRL,2,C,6159234384,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-066035,AKASHA,N,GHS KUNDUMARANAPALLI,akasha240@gmail.com,BOY,6,B,8254559372,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-066042,RAKESH,M,GHS KUNDUMARANAPALLI,rakesh5626@gmail.com,BOY,6,A,6320849460,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-066058,THIRUTHIKA,T,GHS KUNDUMARANAPALLI,thiruthika5349@gmail.com,GIRL,6,B,6128458433,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-066083,AAKASH,D,GHS KUNDUMARANAPALLI,aakash4612@gmail.com,BOY,7,A,7296788141,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-066068,KUPENDRAN,A,GHS KUNDUMARANAPALLI,kupendran1511@gmail.com,BOY,7,C,7430981398,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-066080,SATHYASREE,R,GHS KUNDUMARANAPALLI,sathyasree2582@gmail.com,GIRL,7,C,7294044896,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-066110,KARTHIK,P,GHS KUNDUMARANAPALLI,karthik1945@gmail.com,BOY,8,B,8902444889,KELAMANGALAM,KRISHNAGIRI,J&K,AL
RTS-2425-066103,SUDHAKAR,M,GHS KUNDUMARANAPALLI,sudhakar3272@gmail.com,BOY,8,A,8093237213,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-062843,PAVITHRA,R,CHENNAI HIGH SCHOOL KALADIPET,pavithra2029@gmail.com,GIRL,6,A,7416829700,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-066292,ABISHEK,N,GHS NAGAMANGALAM,abishek3403@gmail.com,BOY,6,C,7384960471,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066320,AASHINI,A,GHS NAGAMANGALAM,aashini2003@gmail.com,GIRL,7,C,8688313719,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066305,MUTHUMARI,M,GHS NAGAMANGALAM,muthumari2146@gmail.com,GIRL,7,A,8385914674,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066332,KISHORE,S,GHS NAGAMANGALAM,kishore3838@gmail.com,BOY,8,C,6093703332,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066328,PRAVEEN,K,GHS NAGAMANGALAM,praveen4125@gmail.com,BOY,8,A,7105319195,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-041615,KAMALESHWARAN,R,ADI DRAVIDA WELFARE PRIMARY SCHOOL PARUTHIPATTU,kamaleshwaran4261@gmail.com,BOY,2,C,6069518664,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-032225,IMMANUEL,S,CHENNAI HIGH SCHOOL KALADIPET,immanuel2022@gmail.com,BOY,8,B,6839291372,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-068572,DHANUSH,H,GHS PAPPARAMPAKKAM,dhanush1182@gmail.com,BOY,6,C,7888809120,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-068602,TANSHIGA,P,GHS PAPPARAMPAKKAM,tanshiga5750@gmail.com,GIRL,6,C,6381867243,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-040097,AGILESH,S,GHS PAPPARAMPAKKAM,agilesh770@gmail.com,BOY,7,C,6064082635,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-040123,LAVEEN,G,GHS PAPPARAMPAKKAM,laveen3947@gmail.com,BOY,7,A,8011775125,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-040151,AMUDHAN,M,GHS PAPPARAMPAKKAM,amudhan1885@gmail.com,BOY,8,C,8494470838,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-040171,SHALINI,R,GHS PAPPARAMPAKKAM,shalini2424@gmail.com,GIRL,8,C,8259912596,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-065650,AISHWARYA,M,GHS SANTHANAPALLI,aishwarya1344@gmail.com,GIRL,6,A,7578404402,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065674,GOPIKA,L,GHS SANTHANAPALLI,gopika2839@gmail.com,GIRL,7,C,8884196285,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-073524,KAVIYA,M,GHS THAGGATTY,kaviya4340@gmail.com,GIRL,7,C,7029597602,THALLY,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-068143,SATHIYA,S,GHS THAGGATTY,sathiya466@gmail.com,GIRL,8,B,8030696623,THALLY,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-070732,DEVI,I,GHS KAYARAMBEDU,devi2312@gmail.com,GIRL,6,B,7131985672,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-068849,PUDPARANI,S,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,pudparani3719@gmail.com,GIRL,1,B,6842235422,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-070762,THIRUKUMARAN,M,GHS KAYARAMBEDU,thirukumaran4695@gmail.com,BOY,6,C,8022953058,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070790,LOHITH,B,GHS KAYARAMBEDU,lohith2468@gmail.com,BOY,7,B,7144021049,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070811,THANUSHYA,D,GHS KAYARAMBEDU,thanushya5656@gmail.com,GIRL,7,C,8425289406,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070829,HEAMESH,S,GHS KAYARAMBEDU,heamesh4921@gmail.com,BOY,8,C,6878869367,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070839,MADESH,M,GHS KAYARAMBEDU,madesh1126@gmail.com,BOY,8,A,7366680808,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070849,PRAVEENKUMAR,E,GHS KAYARAMBEDU,praveenkumar5709@gmail.com,BOY,8,B,7154630745,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070859,ROJA,S,GHS KAYARAMBEDU,roja1558@gmail.com,GIRL,8,B,7865769042,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070869,SUJATHA,Y,GHS KAYARAMBEDU,sujatha4202@gmail.com,GIRL,8,A,7977299173,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-065832,BEESHMAHI,M,GHS-GIRLS KELAMANGALAM,beeshmahi6181@gmail.com,GIRL,6,B,6814491742,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065737,DHARSHIKA,M,GHS-GIRLS KELAMANGALAM,dharshika5068@gmail.com,GIRL,6,B,7987475212,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-041669,AARTHIKA,J,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,aarthika889@gmail.com,GIRL,3,C,6625873637,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-065790,PAVITHRA,E,GHS-GIRLS KELAMANGALAM,pavithra3065@gmail.com,GIRL,6,A,6687638867,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065825,SHALINI,S,GHS-GIRLS KELAMANGALAM,shalini3054@gmail.com,GIRL,6,B,6691655072,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065874,AALIYA,J,GHS-GIRLS KELAMANGALAM,aaliya4489@gmail.com,GIRL,7,A,7382728535,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065924,BAVYA,G,GHS-GIRLS KELAMANGALAM,bavya1138@gmail.com,GIRL,7,B,8241343468,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065857,LAKSHMI,V,GHS-GIRLS KELAMANGALAM,lakshmi252@gmail.com,GIRL,7,B,8701599562,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065886,MEHAKNAS,S,GHS-GIRLS KELAMANGALAM,mehaknas4624@gmail.com,GIRL,7,C,6367806550,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065879,POORVIKA,S,GHS-GIRLS KELAMANGALAM,poorvika2919@gmail.com,GIRL,7,B,7068183920,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066016,KEERTHIKA,A,GHS-GIRLS KELAMANGALAM,keerthika5545@gmail.com,GIRL,8,C,8733858692,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066012,NAGASRI,R,GHS-GIRLS KELAMANGALAM,nagasri2503@gmail.com,GIRL,8,A,8722068540,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066015,PREMALATHA,M,GHS-GIRLS KELAMANGALAM,premalatha1880@gmail.com,GIRL,8,A,6539742884,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065984,ROOPASRI,M,GHS-GIRLS KELAMANGALAM,roopasri5142@gmail.com,GIRL,8,A,7493852338,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-041684,ABISRI,A,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,abisri4787@gmail.com,GIRL,4,B,7748171890,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-073070,ANBARASAN,K,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,anbarasan4546@gmail.com,BOY,1,C,7388886404,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-066041,KARTHICK,M,GHS KUNDUMARANAPALLI,karthick2888@gmail.com,BOY,6,C,8909975686,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-066114,ANGEL,D,GHS KUNDUMARANAPALLI,angel3661@gmail.com,GIRL,8,B,6508844663,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-032868,RITHISH,G,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,rithish5055@gmail.com,BOY,7,A,8941112100,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2324-032885,JAYADA,T,CHENNAI MIDDLE SCHOOL ANDARKUPPAM,jayada3368@gmail.com,BOY,8,B,8294296953,THIRUVOTRIYUR,CHENNAI,TAMILNADU,GULF OIL
RTS-2425-066281,RAMYA,S,GHS NAGAMANGALAM,ramya878@gmail.com,GIRL,6,C,7938560941,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-040114,ELAKKIYA,N,GHS PAPPARAMPAKKAM,elakkiya1351@gmail.com,GIRL,7,C,7145638877,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-040164,NITHISH,B,GHS PAPPARAMPAKKAM,nithish5484@gmail.com,BOY,8,A,8853362972,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-065701,ANJALI,A,GHS SANTHANAPALLI,anjali4165@gmail.com,GIRL,7,C,6977207930,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065671,MADHU,M,GHS SANTHANAPALLI,madhu2569@gmail.com,BOY,7,B,8557677264,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-068100,ANIL,L,GHS THAGGATTY,anil3489@gmail.com,BOY,6,A,8111440513,THALLY,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-070800,PRIYANGA,B,GHS KAYARAMBEDU,priyanga6412@gmail.com,GIRL,7,B,6202327468,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-070819,ARUNKUMAR,S,GHS KAYARAMBEDU,arunkumar5571@gmail.com,BOY,8,C,8839224296,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2324-041653,GODWIN,P,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,godwin5291@gmail.com,BOY,2,A,7728529310,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-065810,KANISHKA,G,GHS-GIRLS KELAMANGALAM,kanishka945@gmail.com,GIRL,6,B,6885203917,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065839,LALITHA,P,GHS-GIRLS KELAMANGALAM,lalitha128@gmail.com,GIRL,6,A,8360040226,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065856,DHANALAKSMI,M,GHS-GIRLS KELAMANGALAM,dhanalaksmi2397@gmail.com,GIRL,7,A,8674125367,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065917,GEETHIKA,J,GHS-GIRLS KELAMANGALAM,geethika850@gmail.com,GIRL,7,A,7657190067,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065902,SUMAIYA,R,GHS-GIRLS KELAMANGALAM,sumaiya2051@gmail.com,GIRL,7,B,7237212697,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065756,JANANI,S,GHS-GIRLS KELAMANGALAM,janani2500@gmail.com,GIRL,8,B,8626855183,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-068086,MAKESH,S,GHS THAGGATTY,makesh4521@gmail.com,BOY,6,B,6858294741,THALLY,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-041737,AGALYA,A,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,agalya4923@gmail.com,GIRL,8,C,7568557824,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2324-041706,AFROZ,I,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,afroz6541@gmail.com,BOY,6,C,8135946182,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-065934,DOLA,G,GHS-GIRLS KELAMANGALAM,dola1668@gmail.com,GIRL,8,A,7257641587,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065955,ABINAYA,R,GHS-GIRLS KELAMANGALAM,abinaya6173@gmail.com,GIRL,8,B,6483184807,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065780,VASALYA,M,GHS-GIRLS KELAMANGALAM,vasalya6051@gmail.com,GIRL,6,A,8042876354,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2324-036651,MONIKA,M,GHS-GIRLS KELAMANGALAM,monika3901@gmail.com,GIRL,6,A,8567225592,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-070770,BHUVANESWARI,V,GHS KAYARAMBEDU,bhuvaneswari2679@gmail.com,GIRL,7,B,7024241634,KATTANGOLATHUR,CHENGELPET,TAMILNADU,SCB
RTS-2425-068839,ABUBAKAR,M,AVADI MUNICIPAL MIDDLE SCHOOL ANNA NAGAR,abubakar5422@gmail.com,BOY,1,B,7856635893,POONAMALLEE,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-065710,PRIYA,V,GHS SANTHANAPALLI,priya3600@gmail.com,GIRL,8,B,8700915262,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065632,MAMTHA,M,GHS SANTHANAPALLI,mamtha2420@gmail.com,GIRL,8,B,7623105111,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065716,DHARSHINI,K,GHS SANTHANAPALLI,dharshini2250@gmail.com,GIRL,8,B,8045865268,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-065636,AMRUTHA,M,GHS SANTHANAPALLI,amrutha5582@gmail.com,GIRL,8,A,8429150480,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
RTS-2425-068593,PRIYADHARSHINI,M,GHS PAPPARAMPAKKAM,priyadharshini4403@gmail.com,GIRL,6,A,6465275795,KADAMBATHUR,TIRUVALLUR,KARNATAKA,HHFL
RTS-2425-066093,PRASANTH,N,GHS KUNDUMARANAPALLI,prasanth5171@gmail.com,BOY,8,C,7520385046,KELAMANGALAM,KRISHNAGIRI,J&K,ALBONAIR
